TOP SELLERS,GENRE,TAGS
Baldur's Gate,"Adventure, RPG, Strategy","RPG, Choices Matter, Story Rich, Character Customization, Turn_Based Combat, Dungeons & Dragons, Adventure, CRPG, Fantasy, Online Co_Op, Multiplayer, Romance, Strategy, Singleplayer, Co_op Campaign, Class_Based, Sexual Content, Dark Fantasy, Combat, Controller"
ELDEN RING,"Action, RPG","Souls_like, Dark Fantasy, Open World, RPG, Difficult, Action RPG, Third Person, Multiplayer, Fantasy, Singleplayer, Online Co_Op, Action, Co_op, PvP, Atmospheric, Violent, Great Soundtrack, 3D, Character Customization, Family Friendly"
PUBG: BATTLEGROUNDS,"Action, Adventure, Massively Multiplayer, Free to Play","Survival, Shooter, Battle Royale, Multiplayer, FPS, PvP, Third_Person Shooter, Action, Online Co_Op, Tactical, Co_op, First_Person, Strategy, Early Access, Competitive, Third Person, Team_Based, Difficult, Simulation, Stealth"
Cyberpunk 2077: Phantom Liberty,RPG,"RPG, Open World, Sexual Content, Cyberpunk, Story Rich, Nudity, Violent, Gore, Atmospheric, Singleplayer, First_Person, FPS, Character Customization, Action RPG, Action, Shooter, Choices Matter, Horror, Stealth, Great Soundtrack"
Fallen Shinobi,Simulation,"Sexual Content, Hentai, Nudity, Simulation, NSFW, Mature, Anime, 2D, Dating Sim, Multiple Endings, Singleplayer, Interactive Fiction, Fantasy, Time Management"
Eternal Return,"Indie, Strategy, Free to Play","Free to Play, Anime, Multiplayer, MOBA, Survival, PvP, Combat, Top_Down, Crafting, Action, 3D, Strategy, Tactical, Character Customization, Indie, Experimental, Point & Click, Early Access, Sexual Content, MMORPG"
Lethal Company,"Action, Adventure, Indie, Early Access","Online Co_Op, Horror, First_Person, Co_op, Psychological Horror, Exploration, Survival Horror, Sci_fi, PvE, Procedural Generation, Atmospheric, Aliens, Time Management, Funny, Adventure, Dungeon Crawler, Action, Action_Adventure, Early Access, Perma Death"
Hogwarts Legacy,"Action, Adventure, RPG","Magic, Fantasy, Open World, Singleplayer, Adventure, RPG, Character Customization, Exploration, Story Rich, Third Person, Action_Adventure, Atmospheric, Action RPG, Action, Combat, Choices Matter, Puzzle, Great Soundtrack, Dark, Family Friendly"
Peeping Dorm Manager,"Indie, RPG","Sexual Content, Hentai, Nudity, Mature, NSFW, Pixel Graphics, RPG, Puzzle, Crime, Point & Click, Anime, Singleplayer, Clicker, Cute, JRPG, FMV, Dating Sim, Female Protagonist, Simulation, Strategy"
DJMAX RESPECT V,"Action, Casual, Sports","Rhythm, Casual, Music, Action, Sports, Anime, Great Soundtrack, Multiplayer, Sexual Content, Singleplayer, Competitive, Difficult, Arcade, Early Access, 2D, Cute, Nudity, Mature"
