TOP SELLERS,GENRE,TAGS
Baldur's Gate,"Adventure, RPG, Strategy","RPG, Choices Matter, Story Rich, Character Customization, Turn_Based Combat, Dungeons & Dragons, Adventure, CRPG, Fantasy, Online Co_Op, Multiplayer, Romance, Strategy, Singleplayer, Co_op Campaign, Class_Based, Sexual Content, Dark Fantasy, Combat, Controller"
Monster Hunter: World,Action,"Co_op, Multiplayer, Action, Open World, RPG, Third Person, Character Customization, Adventure, Fantasy, Difficult, Action RPG, Singleplayer, Exploration, Great Soundtrack, Replay Value, Atmospheric, Hack and Slash, JRPG, Souls_like, MMORPG"
Street Fighter™ 6,"Action, Adventure","2D Fighter, Fighting, Action, Character Customization, Arcade, Adventure, Multiplayer, Competitive, PvP, Open World, eSports, Singleplayer, Action RPG, Local Multiplayer, Controller, 3D, Sandbox, Great Soundtrack, 3D Fighter, Martial Arts"
Monster Hunter World: Iceborne,Action,"Action, Multiplayer, Co_op, Open World, Hunting, Difficult, Third Person, Adventure, Singleplayer, Online Co_Op, Character Customization, RPG, Exploration, Dragons, Hack and Slash, Story Rich, PvE, JRPG, Souls_like, Anime"
ELDEN RING,"Action, RPG","Souls_like, Dark Fantasy, Open World, RPG, Difficult, Action RPG, Third Person, Multiplayer, Fantasy, Singleplayer, Online Co_Op, Action, Co_op, PvP, Atmospheric, Violent, Great Soundtrack, 3D, Character Customization, Family Friendly"
Apex Legends™,"Action, Adventure, Free to Play","Free to Play, Battle Royale, Multiplayer, Shooter, FPS, First_Person, PvP, Action, Hero Shooter, Team_Based, Tactical, Sci_fi, Survival, Loot, Character Customization, Funny, Co_op, Lore_Rich, Cyberpunk, Cinematic"
Grand Theft Auto V,"Action, Adventure","Open World, Action, Multiplayer, Crime, Automobile Sim, Third Person, First_Person, Mature, Shooter, Adventure, Singleplayer, Third_Person Shooter, Racing, Co_op, Sandbox, Atmospheric, Funny, Great Soundtrack, Comedy, Moddable"
Cyberpunk 2077: Phantom Liberty,RPG,"RPG, Open World, Sexual Content, Cyberpunk, Story Rich, Nudity, Violent, Gore, Atmospheric, Singleplayer, First_Person, FPS, Character Customization, Action RPG, Action, Shooter, Choices Matter, Horror, Stealth, Great Soundtrack"
Call of Duty®,Action,"FPS, Multiplayer, Shooter, Action, Singleplayer, Military, First_Person, War, Modern, Tactical, Violent, Co_op, Realistic, Story Rich, Atmospheric, Mature, Online Co_Op, Gore, Third_Person Shooter, Third Person"
Yu_Gi_Oh! Master Duel,"Simulation, Strategy, Free to Play","Card Game, Free to Play, Strategy, Trading Card Game, Multiplayer, PvP, Card Battler, Anime, Simulation, Turn_Based Tactics, Tactical, Singleplayer, eSports, Fantasy, Survival Horror, Dragons, PvE, 3D, 2D, Great Soundtrack"
